Company,"PNP ID","Approved On Date"
"Dome Imaging Systems",DOM,1996-11-29
"Dongguan Alllike Electronics Co., Ltd.",AIK,2015-04-11
"Dosch & Amand GmbH & Company KG",DUA,1997-12-02
"Dotronic Mikroelektronik GmbH",DOT,2002-06-28
"dPict Imaging, Inc.",DIM,2008-02-12
"DpiX, Inc.",DPX,1998-09-23
DPT,DPT,1996-11-29
"Dr. Bott KG",DRB,2002-04-25
"Dr. Neuhous Telekommunikation GmbH",DNT,1996-11-29
"Dragon Information Technology",DIT,1996-11-29
"DRS Defense Solutions, LLC",DRS,2011-10-18
"DS Multimedia Pte Ltd",DSD,2006-02-14
"DSM Digital Services GmbH",DSM,1996-11-29
"dSPACE GmbH",DCE,1996-12-16
"DTC Tech Corporation",DTC,1996-11-29
"DugoTech Co., LTD",DGK,2007-06-14
"Dune Microsystems Corporation",DMC,1996-11-29
"Dycam Inc",DYC,1998-01-08
"Dymo-CoStar Corporation",DYM,1998-12-28
"Dynamic Controls Ltd",DCL,2000-05-24
"Dynax Electronics (HK) Ltd",DTK,1996-11-29
"Dynax Electronics (HK) Ltd",DYX,1996-11-29
"e.Digital Corporation",EDC,2000-10-23
"E.E.P.D. GmbH",EEP,2007-06-14
"Eagle Technology",EGL,1996-11-29
"Eastman Kodak Company",KOD,2000-05-24
"Eastman Kodak Company",EKC,1996-11-29
"Easytel oy",TWI,1999-07-16
"EBS Euchner Büro- und Schulsysteme GmbH",EBS,2013-02-05
"Echo Speech Corporation",ECO,1996-11-29
"Eclipse Tech Inc",ETI,1996-11-29
"E-Cmos Tech Corporation",ECM,1996-11-29
"Eden Sistemas de Computacao S/A",ESC,1996-11-29
"Edimax Tech. Company Ltd",EDI,1996-11-29
EDMI,EDM,1998-07-16
"Edsun Laboratories",ELI,1996-11-29
"EE Solutions, Inc.",EES,2003-04-16
"EEH Datalink GmbH",EEH,1997-07-03
"Efficient Networks",ENI,1996-11-29
"Egenera, Inc.",EGN,2002-10-08
"Eicon Technology Corporation",EIC,1996-11-29
"EIZO GmbH Display Technologies",EGD,2009-02-13
"Eizo Nanao Corporation",ENC,1998-12-28
"EKSEN YAZILIM",EKS,2002-04-25
"ELAD srl",ELA,2002-04-25
"ELAN MICROELECTRONICS CORPORATION",ETD,2009-11-03
"ELAN MICROELECTRONICS CORPORATION",TSH,2014-11-14
"Elbit Systems of America",ESA,2009-06-15
"ELCON Systemtechnik GmbH",ESG,1999-07-16
"ELEA CardWare",LXS,1998-06-25
"Elecom Company Ltd",ECP,1996-11-29
"Elecom Company Ltd",ELE,1996-11-29
"Electro Cam Corp.",ECA,2000-08-10
"Electro Scientific Ind",ELC,1996-11-29
"Electronic Measurements",MMM,1996-11-29
"Electronic Trade Solutions Ltd",ETS,2002-08-20
"Electronic-Design GmbH",EDG,1997-08-12
"Electrosonic Ltd",ELL,1999-09-13
"Element Labs, Inc.",ELT,2007-10-11
"Elgato Systems LLC",EGA,2011-02-08
"Elitegroup Computer Systems Company Ltd",ECS,1996-11-29
"Elitegroup Computer Systems Company Ltd",UEG,1996-11-29
"Elmeg GmbH Kommunikationstechnik",ELG,1996-11-29
"Elmic Systems Inc",ELM,1996-11-29
"ELMO COMPANY, LIMITED",EMO,2012-06-26
"Elo TouchSystems Inc",ELO,1996-11-29
"Elonex PLC",ELX,1996-11-29
"El-PUSK Co., Ltd.",LPE,2001-08-14
"ELSA GmbH",ELS,1996-11-29
"ELTEC Elektronik AG",EAG,2014-11-25
"Embedded computing inc ltd",EMB,2002-02-25
"Embedded Solution Technology",EST,2000-05-24
"Embrionix Design Inc.",EMD,2013-07-24
"Emcore Corporation",EMK,2012-05-31
"Emerging Display Technologies Corp",EDT,2009-08-18
"EMG Consultants Inc",EMG,1996-11-29
"EMiNE TECHNOLOGY COMPANY, LTD.",EME,2005-06-16
Empac,EPC,1996-12-04
"Emulex Corporation",EMU,1996-11-29
"Enciris Technologies",ECI,2008-11-01
"Enciris Technologies",ECT,2008-11-01
"ENE Technology Inc.",ENE,2001-03-15
"e-Net Inc",DTL,1997-10-16
Enhansoft,EHN,2010-11-16
"ENIDAN Technologies Ltd",END,2000-04-19
"Ensemble Designs, Inc",ESD,2009-12-09
"Ensoniq Corporation",ENS,1996-11-29
"Enterprise Comm. & Computing Inc",ENT,1996-11-29
"Envision Peripherals, Inc",EPI,1999-02-22
"Eon Instrumentation, Inc.",EON,2015-01-15
"EPiCON Inc.",EPN,1998-09-23
"Epiphan Systems Inc. ",EPH ,2011-03-14
"Epson Research",EHJ,1996-11-29
"Equinox Systems Inc",EQX,1996-11-29
"Equipe Electronics Ltd.",EQP,2005-07-14
"Ergo Electronics",EGO,1996-11-29
"Ergo System",ERG,1996-11-29
"Ericsson Mobile Communications AB",ERI,1997-10-22
"Ericsson Mobile Networks B.V.",EUT,1998-04-14
"Ericsson, Inc.",ERN,1998-09-23
ES&S,ESK,1999-11-08
eSATURNUS,ESN,2012-02-21
"Escort Insturments Corporation",ERT,1997-05-02
"ESS Technology Inc",ESS,1996-11-29
"ESSential Comm. Corporation",ECC,1996-11-29
"Esterline Technologies",ESL,2012-01-06
ScioTeq,ESB,2015-01-15
"E-Systems Inc",ESY,1996-11-29
"ET&T Technology Company Ltd",EEE,1998-05-04
"E-Tech Inc",ETT,1996-11-29
"eTEK Labs Inc.",ETK,1998-07-16
"Etherboot Project",ETH,2010-07-09
"Eugene Chukhlomin Sole Proprietorship, d.b.a.",ECK,2008-05-03
"Euraplan GmbH",ERP,1996-11-29
"Evans and Sutherland Computer",EAS,2003-01-28
Everex,EVX,1996-11-29
"Everton Technology Company Ltd",ETC,1997-04-10
"Evertz Microsystems Ltd.",ETL,2007-06-14
"eviateg GmbH",EVI,2000-02-21
"Ex Machina Inc",EMI,1996-11-29
"Exacom SA",YHW,1996-11-29
"Exatech Computadores & Servicos Ltda",EXT,1998-09-23
"Excel Company Ltd",ECL,1997-05-27
"Excession Audio",EXC,1998-11-06
"EXFO Electro Optical Engineering",XFO,1998-04-29
"Exide Electronics",EXI,1996-11-29
"Extended Systems, Inc.",ESI,1999-07-16
"Exterity Ltd",EXY,2009-02-12
"Extraordinary Technologies PTY Limited",CRO,2005-04-11
"Exxact GmbH",EXX,1996-11-29
"eyefactive Gmbh",EYF,2015-07-07
"eyevis GmbH",EYE,2011-11-18
"EzE Technologies",EZE,2005-02-21
"F.J. Tieman BV",FJT,1998-06-25
"Fairfield Industries",FFI,1996-11-29
"Fantalooks Co., Ltd.",FAN,2014-03-12
"Fanuc LTD",FNC,1997-01-29
"Farallon Computing",FAR,1996-11-29
"FARO Technologies",FRO,2012-09-21
"Faroudja Laboratories",FLI,2004-06-02
"Fast Multimedia AG",FMA,1996-11-29
"FastPoint Technologies, Inc.",FTI,2001-06-21
"Feature Integration Technology Inc.",FIT,2009-08-11
"Fellowes & Questec",FEL,1996-11-29
"Fellowes, Inc.",FMI,2001-07-05
"Fen Systems Ltd.",FEN,2010-05-04
"Ferranti Int'L",FER,1996-11-29
"Ferrari Electronic GmbH",TLA,1996-12-04
FHLP,FHL,1996-11-29
"Fibernet Research Inc",FRI,1996-11-29
"Finecom Co., Ltd.",FIN,1998-11-27
"Fingerprint Cards AB",FPC,2013-06-14
"First Industrial Computer Inc",PCG,1996-11-29
"First International Computer Inc",LEO,1997-09-19
"First International Computer Ltd",FCG,1997-04-10
"First Virtual Corporation",FVC,1996-11-29
"Flat Connections Inc",FWR,1996-11-29
"FlightSafety International",SSD,2000-08-10
"FLY-IT Simulators",FIS,1997-09-08
"FocalTech Systems Co., Ltd.",FTS,2013-07-23
"Focus Enhancements, Inc.",FCS,2002-12-12
"Fokus Technologies GmbH",FOK,2013-10-22
"FOR-A Company Limited",FOA,2008-12-06
"Force Computers",FRC,1996-11-29
"Ford Microelectronics Inc",FMC,1997-03-11
"Fore Systems Inc",FSI,1996-11-29
"Forefront Int'l Ltd",FIL,1996-11-29
"Formosa Industrial Computing Inc",FIC,1996-11-29
Formoza-Altair,FMZ,2003-04-25
"Forth Dimension Displays Ltd",FDD,2015-07-07
"Forvus Research Inc",FRE,1997-04-24
"Foss Tecator",FOS,1997-10-22
"Founder Group Shenzhen Co.",FZC,1999-11-08
"Fountain Technologies Inc",FTN,1996-11-29
"Fraunhofer Heinrich-Hertz-Institute",HHI,2012-07-27
"Freedom Scientific BLV",FRD,2007-06-15
"FREEMARS Heavy Industries",TCX,2001-03-15
"Frontline Test Equipment Inc.",FTE,1999-01-20
"FTG Data Systems",FTG,1996-11-29
"Fuji Xerox",FXX,1996-11-29
"FUJIFILM Corporation",FFC,2011-08-22
"Fujitsu Display Technologies Corp.",FDT,2002-10-23
"Fujitsu General Limited.",FGL,2000-02-21
"Fujitsu Ltd",FUJ,1996-11-29
"Fujitsu Microelect Ltd",FML,1996-11-29
"Fujitsu Peripherals Ltd",FPE,1997-08-19
"Fujitsu Siemens Computers GmbH",FUS,2000-01-13
"Fujitsu Spain",FJS,1996-11-29
"FCL COMPONENTS LIMITED",FJC,1999-05-16
"FUJITSU TEN LIMITED",FTL,2011-12-20
"Funai Electric Co., Ltd.",FNI,2005-01-18
"Furukawa Electric Company Ltd",FCB,1996-11-29
"FURUNO ELECTRIC CO., LTD.",FEC,1996-11-29
"Future Designs, Inc.",FDI,2014-09-29
"Future Domain",FDC,1996-11-29
"Future Systems Consulting KK",FSC,1996-11-29
"Futuretouch Corporation",FTC,1996-11-29
"FZI Forschungszentrum Informatik",FZI,1997-08-12
"G&W Instruments GmbH",SPH,2002-02-25
"G. Diehl ISDN GmbH",GDI,1996-11-29
"Gadget Labs LLC",GLS,1996-11-29
"Gage Applied Sciences Inc",GAG,1996-11-29
"GAI-Tronics, A Hubbell Company",HUB,2009-03-26
"Galil Motion Control",GAL,1996-11-29
"Garmin International",GRM,2011-12-09
"Garnet System Company Ltd",GTM,1996-11-29
"Gateway 2000",GWY,1996-11-29
"Gateway Comm. Inc",GCI,1996-11-29
"Gateworks Corporation",GWK,2013-07-31
"Gaudi Co., Ltd.",GAU,2003-03-31
"GCC Technologies Inc",GCC,1997-06-05
GDS,GDS,2004-06-23
"GE Fanuc Embedded Systems",GEF,2007-06-14
"Abaco Systems, Inc.",GEH,2010-09-03
"Gefen Inc.",GFN,2007-10-11
"Gem Plus",GEM,1998-02-27
"GEMINI 2000 Ltd",GMN,2000-10-23
"General Datacom",GDC,1996-11-29
"General Dynamics C4 Systems",GED,2013-01-09
"General Information Systems",GML,2000-01-13
"General Inst. Corporation",GIC,1996-11-29
"General Standards Corporation",GSC,1998-07-16
"General Touch Technology Co., Ltd.",GTT,2002-11-21
"Genesys ATE Inc",GEN,1996-11-29
"Genesys Logic",GLM,1999-11-08
"Gennum Corporation",GND,2006-09-05
"GEO Sense",GEO,1996-11-29
"Geotest Marvin Test Systems Inc",GTS,1998-02-24
"GERMANEERS GmbH",GER,2011-12-20
"GES Singapore Pte Ltd",GES,2001-03-15
"Getac Technology Corporation",GET,2010-05-11
"GFMesstechnik GmbH",GFM,2001-03-15
"GI Provision Ltd",GIP,2012-02-08
"Global Data SA",PST,1996-11-29
"Global Village Communication",GVL,1996-11-29
"GMK Electronic Design GmbH",GMK,2008-01-18
"GMM Research Inc",GMM,1996-11-29
"GMX Inc",GMX,1996-11-29
"GN Nettest Inc",GNN,1997-07-30
"GOEPEL electronic GmbH",GOE,2013-06-24
"Goldmund - Digital Audio SA",GLD,2012-02-06
"GOLD RAIN ENTERPRISES CORP.",GRE,2003-06-04
"Goldstar Company Ltd",GSM,1996-11-29
Goldtouch,GTI,1997-08-06
"Google Inc.",GGL,2010-05-26
"GoPro, Inc.",GPR,2015-01-15
"Granch Ltd",GRH,2002-09-23
"Grand Junction Networks",GJN,1996-11-29
"Grandstream Networks, Inc.",GSN,2014-03-03
"Graphic SystemTechnology",GST,1996-11-29
"Graphica Computer",GRA,1996-11-29
"Graphtec Corporation",GTC,1996-11-29
"Grass Valley Germany GmbH",TGV,2007-06-14
"Grey Cell Systems Ltd",GCS,1997-04-29
"Grossenbacher Systeme AG",GSY,2000-04-19
"G-Tech Corporation",GTK,1996-11-29
"Guillemont International",GIM,1997-10-29
"GUNZE Limited",GZE,2005-05-02
"Gunze Ltd",GNZ,1996-11-29
"Guntermann & Drunck GmbH",GUD,2003-03-10
"Guzik Technical Enterprises",GUZ,1996-11-29
"GVC Corporation",GVC,1996-11-29
"H.P.R. Electronics GmbH",HPR,2007-08-29
"Hagiwara Sys-Com Company Ltd",HSC,1996-11-29
"GW Instruments",GWI,1996-11-29
"Haider electronics",HAE,2001-07-05
"Haivision Systems Inc.",HAI,2007-11-15
Halberthal,HAL,1998-02-10
"Hall Research",HRI,2012-05-10
"HAMAMATSU PHOTONICS K.K.",HPK,2006-12-20
"Hampshire Company, Inc.",HTI,1999-01-20
"Hanchang System Corporation",HAN,2003-06-21
"HannStar Display Corp",HSD,2009-08-11
"HannStar Display Corp",HSP,2009-08-11
"HardCom Elektronik & Datateknik",HDC,1998-04-14
"Harman International Industries, Inc",HII,2015-01-09
"Harris & Jeffries Inc",HJI,1996-11-29
"Harris Canada Inc",HWA,1998-03-13
"Harris Corporation",HAR,2011-12-20
"Harris Semiconductor",HRS,1997-01-02
"Hauppauge Computer Works Inc",HCW,1996-11-29
"Hayes Microcomputer Products Inc",HAY,1996-11-29
"HCL America Inc",HCL,1996-11-29
"HCL Peripherals",HCM,2001-10-02
"HD-INFO d.o.o.",HDI,2001-10-08
"Headplay, Inc.",HPI,2007-04-30
"Heng Yu Technology (HK) Limited",HYT,2000-10-23
Hercules,HRC,2001-03-15
HERCULES,HRT,2001-03-15
"HETEC Datensysteme GmbH",HET,2004-02-03
"Hewlett Packard",HWP,2001-03-15
"Hewlett Packard",HPD,1997-05-02
"Hewlett-Packard Co.",HPC,2000-08-10
"Hewlett-Packard Co.",HPQ,2004-07-12
"Hexium Ltd.",HXM,2008-04-15
"Hibino Corporation",HIB,2003-07-09
"Highwater Designs Ltd",HWD,1996-11-29
"Hikom Co., Ltd.",HIK,2003-10-13
"Hilevel Technology",HIL,1996-11-29
"HIRAKAWA HEWTECH CORP.",HHC,2008-05-20
"Hitachi America Ltd",HIT,1996-11-29
"Hitachi Consumer Electronics Co., Ltd",HCE,2009-05-15
"Hitachi Information Technology Co., Ltd.",HIC,2000-04-19
"Hitachi Ltd",HTC,1996-11-29
"Hitachi Maxell, Ltd.",MXL,2000-01-13
"Hitachi Micro Systems Europe Ltd",HEL,1997-07-09
"Hitex Systementwicklung GmbH",HTX,1998-01-30
"hmk Daten-System-Technik BmbH",HMK,1997-09-30
"HOB Electronic GmbH",HOB,1996-11-29
"Holoeye Photonics AG",HOL,2005-02-02
"Holografika kft.",HDV,2005-03-31
"Holtek Microelectronics Inc",HTK,1996-11-29
"Home Row Inc",INC,1996-11-29
"HON HAI PRECISON IND.CO.,LTD.",FOX,2010-08-02
"HONKO MFG. CO., LTD.",HKA,2004-12-01
"Hope Industrial Systems, Inc.",HIS,2014-01-13
"Horner Electric Inc",APG,1996-11-29
"Horsent Technology Co., Ltd.",HST,2015-04-11
"Hosiden Corporation",HOE,1997-08-05
"HTBLuVA Mödling",HTL,2014-02-17
"Hualon Microelectric Corporation",HMC,1996-11-29
"HUALONG TECHNOLOGY CO., LTD",EBT,2007-06-15
"Hughes Network Systems",HNS,1996-11-29
"HUMAX Co., Ltd.",HMX,2006-02-14
"HYC CO., LTD.",HYO,2006-04-12
"Hydis Technologies.Co.,LTD",HYD,2010-11-22
"Hynix Semiconductor",HYV,2008-11-29
"Hypercope Gmbh Aachen",HYC,1997-12-01
"Hypertec Pty Ltd",HYR,1996-11-29
"Hyphen Ltd",HYP,1996-11-29
"I&T Telecom.",ITT,1999-11-08
"I/OTech Inc",IOT,1996-11-29
"IAT Germany GmbH",IAT,1996-11-29
"IBM Brasil",IBM,1996-11-29
"IBM Corporation",CDT,1996-11-29
"IBP Instruments GmbH",IBP,1998-09-23
"IBR GmbH",IBR,1998-01-16
"IC Ensemble",ICE,1997-09-19
"ICA Inc",ICA,2002-05-20
"ICCC A/S",ICX,1996-11-29
"ICD Inc",ICD,1997-06-09
"ICET S.p.A.",ARE,1999-05-16
"ICP Electronics, Inc./iEi Technology Corp.",ICP,2012-09-07
ICSL,IUC,1997-08-14
"Icuiti Corporation",XTD,2007-06-14
"Icuiti Corporation",IWR,2007-03-06
"Id3 Semiconductors",ISC,2001-03-15
"IDE Associates",IDE,1996-11-29
"IDEO Product Development",IDO,1997-09-30
"idex displays",DEX,2002-04-25
"IDEXX Labs",IDX,1996-11-29
"IDK Corporation",IDK,2003-04-16
"Idneo Technologies",IDN,2012-07-05
IDTECH,ITS,2002-06-17
IEE,IEE,2001-06-21
"IGM Communi",IGM,1996-11-29
"IINFRA Co., Ltd",IIN,2003-05-09
"Iiyama North America",IVM,1996-11-29
"Ikegami Tsushinki Co. Ltd.",IKE,2014-11-14
"Ikos Systems Inc",IKS,1996-11-29
ILC,IND,2004-06-16
"Image Logic Corporation",ILC,1996-11-29
"Image Stream Medical",ISM,2010-05-27
"IMAGENICS Co., Ltd.",IMG,2006-09-05
"IMAGEQUEST Co., Ltd",IQT,2002-10-08
Imagraph,IME,1996-12-04
Imagraph,IMA,1996-11-29
"ImasDe Canarias S.A.",IMD,1997-07-03
"IMC Networks",IMC,1996-11-29
"Immersion Corporation",IMM,1997-07-16
"IMP Electronics Ltd.",HUM,2004-06-16
Impinj,IMP,2012-08-14
"Impossible Production",IMN,2000-08-10
"In Focus Systems Inc",IFS,1996-11-29
"In4S Inc",ALD,1997-12-05
INBINE.CO.LTD,IBI,2001-11-06
"Indtek Co., Ltd.",INK,2007-03-26
"IneoQuest Technologies, Inc",IQI,2011-02-18
"Industrial Products Design, Inc.",IPD,1999-07-16
"Ines GmbH",INS,1996-11-29
"Infineon Technologies AG",IFX,2000-04-19
"Infinite Z",IFZ,2012-01-04
"Informatik Information Technologies",IIT,2013-08-14
Informtech,IFT,1996-11-29
"Infotek Communication Inc",ICI,1996-11-29
"Infotronic America, Inc.",ITR,2001-06-21
"Inframetrics Inc",INF,1996-11-29
"Ingram Macrotron",VSN,2000-08-10
"Ingram Macrotron Germany",VID,2000-05-24
"InHand Electronics",IHE,2010-04-20
"Initio Corporation",INI,1996-11-29
"Inmax Technology Corporation",IMT,2003-02-12
"Innolab Pte Ltd",INO,1999-01-20
"InnoLux Display Corporation",INL,2004-12-15
"InnoMedia Inc",INM,1996-11-29
"Innotech Corporation",ILS,2000-10-23
"Innovate Ltd",ATE,1996-11-29
"Innovent Systems, Inc.",INN,2000-04-19
"Innoware Inc",WII,1998-01-30
"Inovatec S.p.A.",inu,2001-03-15
"Inside Contactless",ICV,2010-11-04
"Inside Out Networks",ION,1998-12-28
"Insignia Solutions Inc",ISG,1996-11-29
"INSIS Co., LTD.",ISR,2003-02-12
"Institut f r angewandte Funksystemtechnik GmbH",IAF,1999-03-20
"Integraph Corporation",ING,1996-11-29
"Integrated Business Systems",IBC,1996-11-29
"Integrated Device Technology, Inc.",IDP,2010-01-27
"Integrated Tech Express Inc",ITE,1996-11-29
"Integrated Tech Express Inc",SRC,1996-11-29
"integrated Technology Express Inc",ITX,1997-06-25
"Integration Associates, Inc.",IAI,2004-03-17
"Intel Corp",ICO,2000-08-10
"Intelligent Instrumentation",III,1996-11-29
"Intelligent Platform Management Interface (IPMI) forum (Intel, HP, NEC, Dell)",IPI,2000-05-24
"Intelliworxx, Inc.",IWX,1999-05-16
"Intellix Corp.",SVC,2008-01-18
"Interaction Systems, Inc",TCH,1999-03-20
"Interactive Computer Products Inc",PEN,1997-01-15
"Intercom Inc",ITC,1996-11-29
"Interdigital Sistemas de Informacao",IDS,1997-10-28
"Interface Corporation",FBI,1996-11-29
"Interface Solutions",ISI,1996-11-29
"Intergate Pty Ltd",IGC,1996-11-29
"Interlace Engineering Corporation",IEC,1996-11-29
"Interlink Electronics",IEI,1998-10-16
"International Datacasting Corporation",IDC,1997-02-25
"International Display Technology",IDT,2002-05-16
"International Integrated Systems,Inc.(IISI)",ISY,2000-08-10
"International Microsystems Inc",IMI,1996-11-29
"International Power Technologies",IPT,1997-04-11
"Internet Technology Corporation",ITD,1997-12-05
"Interphase Corporation",INP,1996-11-29
"Interphase Corporation",INT,1996-11-29
"Intersil Corporation",LSD,2012-03-14
"Intersolve Technologies",IST,1999-03-20
Inter-Tel,ITL,1997-03-21
"Intertex Data AB",IXD,1996-11-29
"Intervoice Inc",IVI,1996-11-29
"Intevac Photonics Inc.",IVS,2011-02-16
"Intracom SA",ICM,1998-08-03
"Intrada-SDD Ltd",SDD,2007-11-21
"IntreSource Systems Pte Ltd",ISP,1997-08-27
"Intuitive Surgical, Inc.",SRG,2006-02-16
"Inventec Corporation",INA,2013-09-13
"Inventec Electronics (M) Sdn. Bhd.",INE,1998-07-21
"Inviso, Inc.",INV,2000-10-23
"I-O Data Device Inc",IOD,1996-11-29
"i-O Display System",IOS,2001-03-15
Iomega,IOM,1996-11-29
"IP Power Technologies GmbH",IPP,2010-12-06
"IP3 Technology Ltd.",IPQ,2013-11-11
"IPC Corporation",IPC,1996-11-29
"IPM Industria Politecnica Meridionale SpA",IPM,1998-09-23
"IPS, Inc. (Intellectual Property Solutions, Inc.)",IPS,2001-09-05
"IPWireless, Inc",IPW,2001-03-15
"ISIC Innoscan Industrial Computers A/S",IIC,2003-07-23
"Isolation Systems",ISL,1996-11-29
"ISS Inc",ISS,1996-11-29
"Itausa Export North America",ITA,1996-11-29
"Ithaca Peripherals",IPR,1997-07-01
"ITK Telekommunikation AG",ITK,1996-11-29
"ITM inc.",ITM,2001-04-24
"IT-PRO Consulting und Systemhaus GmbH",ITP,2000-10-23
"Jace Tech Inc",JCE,1996-11-29
"Jaeik Information & Communication Co., Ltd.",JIC,2000-10-23
"Jan Strapko - FOTO",XFG,2001-05-07
"Janich & Klass Computertechnik GmbH",JUK,2002-10-08
"Janz Automationssysteme AG",JAS,2009-11-03
"Japan Aviation Electronics Industry, Limited",JAE,2001-03-15
"Japan Digital Laboratory Co.,Ltd.",JDL,2000-04-19
"Japan Display Inc.",JDI,2013-04-18
"Jaton Corporation",JAT,1997-09-24
"JET POWER TECHNOLOGY CO., LTD.",JET,2001-03-15
"Jetway Information Co., Ltd",JWY,2003-09-22
"jetway security micro,inc",JTY,2009-11-11
"Jiangsu Shinco Electronic Group Co., Ltd",SHI,2004-08-10
"Jones Futurex Inc",JFX,1996-11-29
"Jongshine Tech Inc",LTI,1996-11-29
"Josef Heim KG",HKG,1996-11-29
"JPC Technology Limited",JPC,2000-10-23
"JS DigiTech, Inc",JSD,2000-10-23
"JS Motorsports",JTS,1997-12-05
Junnila,TPJ,2001-03-15
"Jupiter Systems",JUP,2006-09-05
"Jupiter Systems, Inc.",JSI,2007-06-14
JVC,JVC,2000-10-23
"JVC KENWOOD Corporation",JKC,2012-03-08
"JWSpencer & Co.",JWS,1999-07-16
"Kansai Electric Company Ltd",SGE,1996-12-04
"Kaohsiung Opto Electronics Americas, Inc.",HIQ,2012-03-14
"Karn Solutions Ltd.",KSL,2006-05-08
Karna,KAR,2000-02-21
"Katron Tech Inc",KTN,1996-11-29
"Kayser-Threde GmbH",KTG,1996-11-29
"KDDI Technology Corporation",KDT,2012-05-22
KDE,KDE,2001-08-14
"KDS USA",KDS,1996-11-29
"KEISOKU GIKEN Co.,Ltd.",KGL,2012-04-17
"Kensington Microware Ltd",KML,1996-11-29
"Kenwood Corporation",KWD,2008-02-22
KEPS,EPS,1996-11-29
"Kesa Corporation",KES,1996-11-29
"Key Tech Inc",KEY,1996-11-29
"Key Tronic Corporation",KTK,1996-11-29
"Keycorp Ltd",KCL,1997-05-20
KeyView,KVX,2012-08-13
"Kidboard Inc",KBI,1997-04-24
"KIMIN Electronics Co., Ltd.",KME,2011-02-15
"Kinetic Systems Corporation",KSC,1996-11-29
"King Phoenix Company",KPC,1996-11-29
"King Tester Corporation",KSX,1998-07-16
"Kingston Tech Corporation",KTC,1996-11-29
"Kionix, Inc.",KIO,2013-12-23
"KiSS Technology A/S",KIS,2005-06-16
"Klos Technologies, Inc.",PVP,2000-08-10
"Kobil Systems GmbH",KBL,2001-03-15
"Kobil Systems GmbH",KOB,2001-03-15
"Kodiak Tech",KDK,1996-11-29
"Kofax Image Products",KFX,1996-11-29
"Kollmorgen Motion Technologies Group",KOL,1996-11-29
"KOLTER ELECTRONIC",KOE,2001-03-15
"Komatsu Forest",KFE,2010-04-20
"Konica corporation",KNC,1997-08-05
"Konica Technical Inc",KTI,1996-11-29
"Kontron Electronik",TWE,1996-11-29
"Kontron Embedded Modules GmbH",KEM,2007-08-29
"Kontron Europe GmbH",KEU,2014-02-20
"Korea Data Systems Co., Ltd.",KDM,2003-12-18
"KOUZIRO Co.,Ltd.",KOU,2012-07-27
"KOWA Company,LTD.",KOW,2008-03-12
"Kramer Electronics Ltd. International",KMR,2013-07-10
"Krell Industries Inc.",KRL,2004-08-03
"Kroma Telecom",KRM,2010-05-05
"Kroy LLC",KRY,1998-07-16
K-Tech,KTE,2003-03-31
"KUPA China Shenzhen Micro Technology Co., Ltd. Gold Institute",KSG,2014-04-22
"Kurta Corporation",KUR,1996-11-29
"Kvaser AB",KVA,1997-01-24
"KYE Syst Corporation",KYE,1996-11-29
"Kyocera Corporation",KYC,1996-11-29
"Kyushu Electronics Systems Inc",KEC,1998-01-12
"K-Zone International",KZN,2001-06-21
"K-Zone International co. Ltd.",KZI,2000-08-10
"L-3 Communications",LLL,2010-05-11
"La Commande Electronique",LCE,1996-11-29
"Labcal Technologies",LCT,1999-11-08
"Labtec Inc",LTC,1997-12-08
"Labway Corporation",LWC,1996-12-04
LaCie,LAC,1998-12-28
"Laguna Systems",LAG,1996-11-29
"Land Computer Company Ltd",LND,1996-11-29
"LANETCO International",LNT,2003-05-02
"Lanier Worldwide",LWW,1996-11-29
"Lars Haagh ApS",LHA,1997-01-09
"LASAT Comm. A/S",LAS,1996-11-29
"Laser Master",LMT,1996-11-29
"Laserdyne Technologies",LDN,2013-10-16
"Lasergraphics, Inc.",LGX,2000-02-21
"Latitude Comm.",LCM,1996-11-29
"Lava Computer MFG Inc",LAV,1997-04-14
LCI,LCC,2000-08-10
"Lectron Company Ltd",LEC,1997-03-27
"Leda Media Products",LMP,1998-05-11
"Legerity, Inc",LEG,2005-01-18
"Leitch Technology International Inc.",LTV,2003-12-09
Lenovo,LNV,2005-07-14
"Lenovo Beijing Co. Ltd.",LIN,2012-05-22
"Lenovo Group Limited",LEN,2005-06-03
"Lexical Ltd",LEX,1996-11-29
LEXICON,LCN,2005-03-01
"Leutron Vision",PRS,1996-11-29
"Lexmark Int'l Inc",LMI,1996-11-29
"LG Semicom Company Ltd",LGS,1996-11-29
LGIC,MAN,2000-02-21
"LifeSize Communications",LSC,2006-02-14
"Lighthouse Technologies Limited",LHT,2010-05-04
"Lightware Visual Engineering",LWR,2009-02-04
"Lightware, Inc",LTW,1998-10-16
"Lightwell Company Ltd",LZX,1997-12-02
"Likom Technology Sdn. Bhd.",LKM,1998-04-23
"Linear Systems Ltd.",LNR,2007-10-11
"Link Tech Inc",LNK,1996-11-29
"Linked IP GmbH",LIP,2010-07-19
"Lisa Draexlmaier GmbH",FGD,1999-02-22
"Litelogic Operations Ltd",LOL,2011-12-09
"Lite-On Communication Inc",LCI,1996-11-29
"Lithics Silicon Technology",LIT,2001-03-15
"Litronic Inc",LTN,1998-02-03
"Locamation B.V.",LOC,2004-01-09
"Loewe Opta GmbH",LOE,2005-05-02
"Logic Ltd",LGC,1994-04-02
"Logical Solutions",LSL,1996-11-29
"Logicode Technology Inc",LOG,1996-11-29
"Logitech Inc",LGI,1996-11-29
"LogiDataTech Electronic GmbH",LDT,2001-03-15
